cik,filename,total_revenue,net_income_loss,revenue_tag
1667313,1667313_2018.htm,10833000,-1563000,Revenues
1328143,1328143_2018.htm,34046000,-130999000,RevenueFromContractWithCustomerExcludingAssessedTax
10795,10795_2018.htm,15983000000,311000000,Revenues
1558465,1558465_2018.htm,9026962,307047,Revenues
1167419,1167419_2018.htm,7845000,-58008000,Revenues
1746129,1746129_2018.htm,,25000000,
886128,886128_2018.htm,89437000,-47334000,RevenueFromContractWithCustomerExcludingAssessedTax
1681556,1681556_2018.htm,9261910,-5105429,RevenueFromContractWithCustomerExcludingAssessedTax
817720,817720_2018.htm,1472200000,-22900000,RevenueFromContractWithCustomerExcludingAssessedTax
1597892,1597892_2018.htm,28402759,1992970,Revenues
1669374,1669374_2018.htm,,,
790526,790526_2018.htm,975146000,32243000,RevenueFromContractWithCustomerExcludingAssessedTax
927761,927761_2018.htm,,,
1255474,1255474_2018.htm,2081414000,,RevenueFromContractWithCustomerExcludingAssessedTax
1319161,1319161_2018.htm,4005000000,307000000,RevenueFromContractWithCustomerExcludingAssessedTax
1495216,1495216_2018.htm,,,
1611277,1611277_2018.htm,9563573,-7965802,Revenues
1702541,1702541_2018.htm,,-55982,
1138776,1138776_2018.htm,,-30775000,
1091983,1091983_2018.htm,10158516,-2676269,RevenueFromContractWithCustomerIncludingAssessedTax
1258602,1258602_2018.htm,,227913000,
101594,101594_2018.htm,5539000,-1040000,RevenueFromContractWithCustomerExcludingAssessedTax
1267238,1267238_2018.htm,8057600000,251000000,Revenues
1685237,1685237_2018.htm,8500,-33685,Revenues
885725,885725_2018.htm,9823000000,,RevenueFromContractWithCustomerExcludingAssessedTax
1318084,1318084_2018.htm,16395300000,45500000,RevenueFromContractWithCustomerIncludingAssessedTax
805676,805676_2018.htm,,110387000,
920424,920424_2018.htm,509476000,,Revenues
1445815,1445815_2018.htm,,-296417,
1138639,1138639_2018.htm,943379000,-214295000,RevenueFromContractWithCustomerExcludingAssessedTax
1051343,1051343_2018.htm,555000,7409000,RevenueFromContractWithCustomerExcludingAssessedTax
