Filename,Processing_Time_Sec,REVENUE,LOSS,INDUSTRY
1667313_2018.htm,62.06,10800000,1600000,mobile advertising industry
1328143_2018.htm,71.45,,131000000,pharmaceutical industry
10795_2018.htm,76.50,15983000000,,medical technology
1558465_2018.htm,55.34,9026962,,oil and gas industry
1167419_2018.htm,130.77,7846000,60213000,digital currency exchange
1746129_2018.htm,87.91,,,banking
886128_2018.htm,129.74,89400000,47300000,fuel cells
1681556_2018.htm,48.53,8762332,5105047,MCA industry
817720_2018.htm,99.23,1630300000,124100000,Semiconductors
1597892_2018.htm,38.58,28402759,,healthcare
1669374_2018.htm,27.20,,,
790526_2018.htm,108.92,975100000,,outpatient diagnostic imaging services
927761_2018.htm,83.15,,4172,pharmaceutical industry
1255474_2018.htm,111.02,,,oil and gas industry
1319161_2018.htm,217.88,,,Recorded Music
1495216_2018.htm,14.56,,,
1611277_2018.htm,21.37,,,
1702541_2018.htm,5.68,,,
1138776_2018.htm,11.91,,,
1091983_2018.htm,12.00,,,
1258602_2018.htm,23.44,,,
101594_2018.htm,13.10,,,
1267238_2018.htm,25.87,,,
1685237_2018.htm,55.55,8500,33685,tourism
885725_2018.htm,125.11,9823000000,,medical device industry
1318084_2018.htm,132.48,16395300000,,convenience retail industry
805676_2018.htm,51.83,,,financial services industry
920424_2018.htm,90.62,,,brokerage industry
1445815_2018.htm,57.12,,296417,pharmaceutical and biotechnology
